epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.3099,0.22457,0.89055,0.96759,0.94336,0.95363,0.97167,0.93645,0.40553,0.73431,0.66114,0.000665175,0.000665175,0.000665175
2,137.215,0.20937,0.53118,0.94167,0.94065,0.94705,0.97549,0.93836,0.34403,0.51307,0.59866,0.00128789,0.00128789,0.00128789
3,199.42,0.19318,0.4771,0.93148,0.8219,0.8502,0.91173,0.75154,0.42503,0.86309,0.68103,0.00186661,0.00186661,0.00186661
4,259.93,0.17035,0.43061,0.91626,0.84527,0.97095,0.89673,0.86282,0.26644,1.11527,0.51645,0.001802,0.001802,0.001802
5,318.289,0.14897,0.39594,0.90835,0.94832,0.96349,0.9816,0.95552,0.24978,0.33154,0.47363,0.001736,0.001736,0.001736
6,373.695,0.13067,0.36373,0.90038,0.96679,0.96643,0.98525,0.94364,0.27482,0.39179,0.47953,0.00167,0.00167,0.00167
7,429.045,0.1217,0.3474,0.89467,0.96113,0.96437,0.97954,0.96949,0.25376,0.36136,0.49276,0.001604,0.001604,0.001604
8,489.004,0.11227,0.32984,0.89678,0.81216,0.95104,0.94499,0.90617,0.20636,0.66967,0.42246,0.001538,0.001538,0.001538
9,563.579,0.10954,0.33004,0.89205,0.90952,0.99336,0.97492,0.96928,0.16998,0.87856,0.38784,0.001472,0.001472,0.001472
10,638.981,0.10015,0.31267,0.88986,0.96628,0.97503,0.98884,0.9728,0.21954,0.33654,0.44211,0.001406,0.001406,0.001406
11,714.489,0.09583,0.30202,0.88591,0.95535,0.9767,0.98858,0.98053,0.17672,0.32239,0.39207,0.00134,0.00134,0.00134
12,789.786,0.09285,0.30151,0.88754,0.98316,0.98174,0.992,0.99007,0.18046,0.24823,0.40351,0.001274,0.001274,0.001274
13,865.006,0.08595,0.28503,0.8843,0.97879,0.99573,0.99193,0.98897,0.19279,0.29345,0.44055,0.001208,0.001208,0.001208
14,940.415,0.07948,0.27939,0.88264,0.97545,0.98933,0.9916,0.98836,0.1575,0.27498,0.39507,0.001142,0.001142,0.001142
15,1016.29,0.07858,0.26656,0.88232,0.96806,0.99004,0.99262,0.99019,0.18773,0.3177,0.41718,0.001076,0.001076,0.001076
16,1090.62,0.07563,0.25901,0.8794,0.97913,0.9732,0.98915,0.98521,0.15769,0.28896,0.38196,0.00101,0.00101,0.00101
17,1170.49,0.07086,0.2608,0.8784,0.97683,0.98755,0.99065,0.98456,0.17722,0.25961,0.40065,0.000944,0.000944,0.000944
18,1246.96,0.06814,0.25614,0.87979,0.97362,0.97998,0.99111,0.98392,0.15669,0.2461,0.38718,0.000878,0.000878,0.000878
19,1323.63,0.065,0.24549,0.87609,0.98422,0.98344,0.99215,0.99103,0.1492,0.23521,0.38618,0.000812,0.000812,0.000812
20,1401.8,0.06265,0.237,0.87655,0.98677,0.99058,0.99215,0.99069,0.14165,0.19603,0.36066,0.000746,0.000746,0.000746
21,1498.24,0.0679,0.14615,0.87139,0.98115,0.99334,0.99254,0.99254,0.1563,0.25759,0.38294,0.00068,0.00068,0.00068
22,1577.89,0.05829,0.12714,0.86251,0.98436,0.9924,0.99295,0.99284,0.13084,0.25773,0.34715,0.000614,0.000614,0.000614
23,1656.96,0.05273,0.1186,0.86284,0.98431,0.98916,0.99359,0.99359,0.10514,0.1607,0.31034,0.000548,0.000548,0.000548
24,1734.82,0.04546,0.09895,0.85768,0.98273,0.99182,0.99334,0.99323,0.10976,0.20231,0.31265,0.000482,0.000482,0.000482
25,1812.93,0.04295,0.0903,0.85306,0.98883,0.9917,0.99385,0.99385,0.08191,0.15768,0.28037,0.000416,0.000416,0.000416
26,1891.79,0.03922,0.08303,0.857,0.98351,0.99668,0.99385,0.99385,0.1365,0.24037,0.35958,0.00035,0.00035,0.00035
27,1970.04,0.0362,0.07822,0.8547,0.98679,0.99336,0.99308,0.99308,0.13086,0.22795,0.3538,0.000284,0.000284,0.000284
28,2040.05,0.03099,0.06733,0.8547,0.98987,0.99668,0.99364,0.99364,0.13067,0.23248,0.34683,0.000218,0.000218,0.000218
29,2108.67,0.0278,0.06143,0.85449,0.99029,0.99668,0.99363,0.99363,0.12847,0.23982,0.34771,0.000152,0.000152,0.000152
30,2177.54,0.0254,0.05916,0.85185,0.99093,0.9973,0.99378,0.99378,0.12038,0.2254,0.34223,8.6e-05,8.6e-05,8.6e-05
